Year	Wheat	Rye	Barley	Oats	Peas	%/Year/Worker
1250	8.71	10.71	10.25	7.24	6.03	−0.27
1300	8.24	10.36	9.46	6.60	6.14	−0.032
1350	7.46	9.21	9.74	7.49	5.86	0.61
1400	5.89	10.46	8.44	6.55	5.42	0.08
1450	6.48	13.96	8.56	5.95	4.49	0.48
1550	7.88	9.21	8.40	7.87	7.62	−0.16
1600	10.45	16.28	11.16	10.97	8.62	−0.11
1650	11.36	14.19	12.48	10.82	8.39	0.64
1700	13.79	14.82	15.08	12.27	10.23	0.70
1750	17.26	17.87	21.88	20.90	14.19	0.37
1800	23.16	19.52	25.90	28.37	17.85	0.63
1850	26.69	26.18	23.82	31.36	16.30	—
